conabio_id,clave_original,tipo_alimento,food_type,descripcion_alimento,food_description,procedencia,referencias_ids,taxon_id,taxon,categoria,estatus,fuente,nombre_autoridad,cites,Ácido ascórbico,Ácido  láurico,Ácido araquídico,Ácido aspártico,Ácido behénico,Ácido Butírico,Ácido caprico,Ácido caprílico,Ácido caproico,Ácido cis-10-heptadecanoico,Ácido cis-11-eicosenoico,Ácido cis-11;14-eicosatrienoico,Ácido cis-11;14;17-eicosatrienoico,Ácido elaídico,Ácido esteárico,Ácido glutámico,Ácido heneicosanoico,Ácido heptadecanoico,Ácido lignocérico,Ácido linoleico,Ácido linolénico,Ácido mirístico,Ácido oleico,Ácido palmítico,Ácido palmitoleico,Ácido pentadecanoico,Ácido tricosanoico,Ácido undecanoico,Ácido y-linolénico,Ácidos grasos saturados,Alanina,Almidón,Aminoácidos aromáticos totales,Aminoácidos azufrados totales,Arginina,Azúcares,Beta carotenos,Calcio,Carotenos,Cenizas,Cisteína,Cobre,Colesterol,Energía,Extracto etéreo,Fenilalanina,Fibra bruta,Fibra dietaria insoluble,Fibra dietaria total,Fósforo,Glicina,Hidratos de carbono,Hierro,Histidina,Humedad,Isoleucina,Lactosa,Leucina,Lisina,Litio,Magnesio,Manganeso,Metionina,Niacina,Polisacáridos no amiláceos insolubles,Polisacáridos no amiláceos totales,Porción comestible,Potasio,Prolina,Proteína bruta,Riboflavina (Vitamina B2),Selenio,Serina,Sodio,Tiamina (Vitamina B1),Tirosina,Treonina,Triptófano,Valina,Vitamina A,Zinc,Similar abajo?,Similar arriba?,Check for similar items,Columnas sin macro o micronutrientes,Columnas con macro o micronutrientes
0,13307,ADEREZO,DRESSINGS,Mayonesa Artesanal - Mayonnaise Craft,Mayonnaise Craft,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54 g,,,,,,0 g,,,,1.71 g,,,,787.25 kcal,82.43 g,,,,,,,0.17 g,,,12.4 g,,,,,,,,,,,,1%,,,3.29 g,,,,557.87 mg,,,,,,,,FALSO,FALSO,Valor único,71,10
1,2413,ADEREZO,DRESSINGS,Mayonesa Con Jugo De Limón - Mayonnaise With Lemon Juice,Mayonnaise With Lemon Juice,,['3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4 g,,,,720 kcal,77.8 g,,,,,,,6.9 g,,,12.6 g,,,,,,,,,,,,1%,,,1.3 g,,,,,,,,,,,,FALSO,FALSO,Valor único,74,7
10,8802,ALGAS Y HONGOS,ALGAE AND FUNGI,Alga Spirulina Maxima - Seaweed Spirulina Maxima,Seaweed Spirulina Maxima,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68887.45 mg,12.4 g,,,,263 kcal,7.5 g,,0 g,,,,,11.1 g,,,7.2 g,,,,,,,,,,,,1%,,,61.8 g,234 mg,,,,0.16 mg,,,,,38232.53 U.I.,,FALSO,FALSO,Valor único,69,12
100,9795,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY",Caramelo Suave - Sweet Soft Candy,Sweet Soft Candy,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24 mg,,,36 g / 100 g proteína,,,,,,,,,,,1%,,,9.46 g,,,,,,,,,,,4.03 mg,FALSO,FALSO,Valor único,76,5
1000,1019,FRUTAS,FRUITS,Membrillo - Quince,Quince,Puebla,['5'],,,,,,,,14.7 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06 mg,50 mg,,0.5 g,,,,171 kcal,0.49 g,,1.66 g,,,4 mg,,12.08 g,,,84.9 g,,,,,,,,,0.3 mg,,,0.60%,,,0.37 g,0.04 mg,,,,0.05 mg,,,,,,,FALSO,FALSO,Valor único,66,15
1001,1018,FRUTAS,FRUITS,Membrillo Melocotón - Quince Peach,Quince Peach,,['5'],,,,,,,,13.8 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 mg,60 mg,,0.2 g,,,,,,,,,,5 mg,,,,,86.9 g,,,,,,,,,0.26 mg,,,0.60%,,,,0.02 mg,,,,0.1 mg,,,,,,,FALSO,FALSO,Valor único,71,10
1002,1021,FRUTAS,FRUITS,Nance - Golden Spoon,Golden Spoon,Yucatán,['5'],,,,,,,,125.5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 mg,37 mg,,0.5 g,,,,41 kcal,1.31 g,,5.42 g,,,7 mg,,6.45 g,1.39 mg,,84.2 g,,,,,,,,,0.34 mg,,,0.20%,,,2.12 g,0.04 mg,,,,0.02 mg,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,65,16
1003,1022,FRUTAS,FRUITS,Nance - Golden Spoon,Golden Spoon,Morelos,['5'],,,,,,,,45.6 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 mg,40 mg,,0.6 g,,,,57 kcal,1.38 g,,2.55 g,,,14 mg,,11.7 g,,,82.9 g,,,,,,,,,0.41 mg,,,0.20%,,,0.87 g,0.01 mg,,,,0.01 mg,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,66,15
1004,1020,FRUTAS,FRUITS,Nance Agrio - Golden Spoon Sour,Golden Spoon Sour,Yucatán,['5'],,,,,,,,97.2 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02 mg,19 mg,,0.5 g,,,,55 kcal,1.16 g,,1.6 g,,,18 mg,,11.17 g,2.04 mg,,84.2 g,,,,,,,,,0.38 mg,,,0.20%,,,1.37 g,0.04 mg,,,,0.05 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1005,1035,FRUTAS,FRUITS,Naranja - Orange,Orange,Nuevo León,['5'],,,,,,,,37.3 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,36 mg,,0.5 g,,,,35 kcal,0.02 g,,0.3 g,,,27 mg,,8.91 g,0.19 mg,,89.4 g,,,,,,,,,0.38 mg,,,0.63%,,,0.87 g,0.03 mg,,,,0.07 mg,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,65,16
1006,1036,FRUTAS,FRUITS,Naranja - Orange,Orange,Nuevo León,['5'],,,,,,,,50.8 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,56 mg,,0.5 g,,,,41 kcal,0.03 g,,0.26 g,,,28 mg,,10.58 g,0.28 mg,,87.7 g,,,,,,,,,0.38 mg,,,0.63%,,,0.93 g,0.04 mg,,,,0.09 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1007,1037,FRUTAS,FRUITS,Naranja - Orange,Orange,San Luis Potosí,['5'],,,,,,,,59.7 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 mg,46 mg,,0.3 g,,,,35 kcal,0.08 g,,0.35 g,,,20 mg,,8.83 g,0.3 mg,,89.6 g,,,,,,,,,0.48 mg,,,0.63%,,,0.84 g,0.06 mg,,,,0.06 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1008,1038,FRUTAS,FRUITS,Naranja - Orange,Orange,Veracruz,['5'],,,,,,,,48.4 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 mg,61 mg,,0.4 g,,,,35 kcal,0.04 g,,1.06 g,,,18 mg,,8.89 g,3.1 mg,,88.8 g,,,,,,,,,0.36 mg,,,0.63%,,,0.81 g,0.04 mg,,,,0.07 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1009,1039,FRUTAS,FRUITS,Naranja - Orange,Orange,Veracruz,"['5,38']",,,,,,,,182 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 mg,33 mg,,0.4 g,,,,,,,,,,17 mg,,,0.2 mg,,86.6 g,,,,,,,,,0.25 mg,1 g,3.1 g,0.63%,,,0.81 g,0.03 mg,,,,0.09 mg,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,67,14
101,2818,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY","Chocolate Amargo, Para Mesa - Chocolate Bitter, For Beverages","Chocolate Bitter, For Beverages",,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 g,,,,,,,,,,,,,,,0.3 g,,,,,,,,,,,,1%,,,5.9 g,,,,51.07 mg,,,,,,,,FALSO,FALSO,Valor único,76,5
1010,1040,FRUTAS,FRUITS,Naranja - Orange,Orange,"México, Distrito Federal","['34,35']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,,,,,,2.8 g,3 g,,,,0.9 mg,,,,,,,,,,,,,,0.63%,,,,,,,,,,,,,,0.51 mg,FALSO,FALSO,Valor único,75,6
1011,1023,FRUTAS,FRUITS,Naranja Agria - Orange Sour,Orange Sour,Yucatán,['5'],,,,,,,,31.4 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 mg,65 mg,,0.8 g,,,,58 kcal,0.63 g,,1.29 g,,,21 mg,,13.38 g,0.8 mg,,82.4 g,,,,,,,,,0.38 mg,,,0.63%,,,1.5 g,0.01 mg,,,,0.07 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1012,1024,FRUTAS,FRUITS,Naranja Cajera - Orange Bitter-Sweet Orange,Orange Bitter-Sweet Orange,Yucatán,['5'],,,,,,,,51.4 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,46 mg,,0.5 g,,,,49 kcal,0.66 g,,0.25 g,,,21 mg,,11.19 g,2.52 mg,,86.4 g,,,,,,,,,0.38 mg,,,0.63%,,,1 g,0.03 mg,,,,0.11 mg,,,,,,,FALSO,FALSO,Valor único,65,16
